grid_id,external_id_type,external_id
grid.4563.4,ISNI,0000 0004 1936 8868
grid.4563.4,FundRef,501100000837
grid.4563.4,HESA,0155
grid.4563.4,UCAS,N84
grid.4563.4,UKPRN,10007154
grid.4567.0,ISNI,0000 0004 0483 2525
grid.4578.e,ISNI,0000 0004 0639 1225
grid.4605.7,ISNI,0000000121896553
grid.4612.1,ISNI,0000 0000 9172 2308
grid.4616.5,ISNI,0000 0004 0542 3598
grid.4643.5,ISNI,0000 0004 1937 0327
grid.4655.2,ISNI,0000 0004 0417 0154
grid.4691.a,ISNI,0000 0001 0790 385X
grid.4694.f,ISNI,0000 0004 0622 3715
grid.4701.2,ISNI,0000 0001 0728 6636
grid.4701.2,HESA,0074
grid.4701.2,UCAS,P80
grid.4701.2,UKPRN,10007155
grid.4708.b,ISNI,0000 0004 1757 2822
grid.4709.a,ISNI,0000 0004 0495 846X
grid.4711.3,ISNI,0000 0001 2183 4846
grid.4711.3,FundRef,501100003339
grid.4714.6,ISNI,0000 0004 1937 0626
grid.4714.6,FundRef,501100004047
grid.4748.f,ISNI,0000000121690918
grid.4756.0,ISNI,0000 0001 2112 2291
grid.4756.0,FundRef,501100001261
grid.4756.0,HESA,0076
grid.4756.0,UCAS,L75
grid.4756.0,UKPRN,10004078
grid.4764.1,ISNI,0000 0001 2186 1887
grid.4777.3,ISNI,0000 0004 0374 7521
grid.4777.3,FundRef,501100000873
grid.4777.3,HESA,0193
grid.4777.3,HESA,0184
grid.4777.3,UCAS,Q75
grid.4777.3,UKPRN,10008010
grid.4777.3,UKPRN,10005343
grid.4793.9,ISNI,0000000109457005
grid.4793.9,FundRef,501100002665
grid.4795.f,ISNI,0000 0001 2157 7667
grid.4795.f,FundRef,501100002911
grid.4800.c,ISNI,0000 0004 1937 0343
grid.4807.b,ISNI,0000 0001 2187 3167
grid.4808.4,ISNI,0000 0001 0657 4636
grid.4818.5,ISNI,0000 0001 0791 5666
grid.4818.5,FundRef,501100001830
grid.4818.5,FundRef,501100004890
grid.4818.5,FundRef,501100004891
grid.4818.5,FundRef,501100006626
grid.4819.4,ISNI,0000 0001 0704 7467
grid.4825.b,ISNI,0000 0004 0641 9240
