geonames_city_id,city,nuts_level1_code,nuts_level1_name,nuts_level1_ascii_name,nuts_level2_code,nuts_level2_name,nuts_level2_ascii_name,nuts_level3_code,nuts_level3_name,nuts_level3_ascii_name,geonames_admin1_code,geonames_admin1_name,geonames_admin1_ascii_name,geonames_admin2_code,geonames_admin2_name,geonames_admin2_ascii_name
5119218,Great Neck,,,,,,,,,,US.NY,New York,New York,US.NY.059,Nassau County,Nassau County
5356451,Hercules,,,,,,,,,,US.CA,California,California,US.CA.013,Contra Costa County,Contra Costa County
3456147,Nova Lima,,,,,,,,,,BR.15,Minas Gerais,Minas Gerais,BR.15.3144805,Nova Lima,Nova Lima
3182635,Aviano,ITH,Nord-Est,Nord-Est,ITH4,Friuli-Venezia Giulia,Friuli-Venezia Giulia,ITH41,Pordenone,Pordenone,IT.06,Friuli Venezia Giulia,Friuli Venezia Giulia,IT.06.PN,Provincia di Pordenone,Provincia di Pordenone
3169326,Rionero in Vulture,ITF,Sud,Sud,ITF5,Basilicata,Basilicata,ITF51,Potenza,Potenza,IT.02,Basilicate,Basilicate,IT.02.PZ,Provincia di Potenza,Provincia di Potenza
2647451,Harpenden,UKH,East of England,East of England,UKH2,Bedfordshire and Hertfordshire,Bedfordshire and Hertfordshire,UKH23,Hertfordshire,Hertfordshire,GB.ENG,England,England,GB.ENG.F8,Hertfordshire,Hertfordshire
2754287,Heteren,NL2,Oost-Nederland,Oost-Nederland,NL22,Gelderland,Gelderland,NL226,Arnhem/Nijmegen,Arnhem/Nijmegen,NL.03,Gelderland,Gelderland,NL.03.1734,Gemeente Overbetuwe,Gemeente Overbetuwe
6535289,Veruno,ITC,Nord-Ovest,Nord-Ovest,ITC1,Piemonte,Piemonte,ITC15,Novara,Novara,IT.12,Piedmont,Piedmont,IT.12.NO,Provincia di Novara,Provincia di Novara
1259693,Pilāni,,,,,,,,,,IN.24,Rajasthan,Rajasthan,,,
2655524,Blackburn,UKD,North West (England),North West (England),UKD4,Lancashire,Lancashire,UKD41,Blackburn with Darwen,Blackburn with Darwen,GB.ENG,England,England,GB.ENG.A8,Blackburn with Darwen,Blackburn with Darwen
4841463,Ridgefield,,,,,,,,,,US.CT,Connecticut,Connecticut,US.CT.001,Fairfield County,Fairfield County
5339111,Concord,,,,,,,,,,US.CA,California,California,US.CA.013,Contra Costa County,Contra Costa County
5404119,Tustin,,,,,,,,,,US.CA,California,California,US.CA.059,Orange County,Orange County
4761054,Glen Allen,,,,,,,,,,US.VA,Virginia,Virginia,US.VA.087,Henrico County,Henrico County
2655099,Bourne,UKF,East Midlands (England),East Midlands (England),UKF3,Lincolnshire,Lincolnshire,UKF30,Lincolnshire,Lincolnshire,GB.ENG,England,England,GB.ENG.H7,Lincolnshire,Lincolnshire
5856430,‘Aiea,,,,,,,,,,US.HI,Hawaii,Hawaii,US.HI.003,Honolulu County,Honolulu County
5328041,Beverly Hills,,,,,,,,,,US.CA,California,California,US.CA.037,Los Angeles County,Los Angeles County
5126555,Melville,,,,,,,,,,US.NY,New York,New York,US.NY.103,Suffolk County,Suffolk County
2953386,Bad Oeynhausen,DEA,Nordrhein-Westfalen,Nordrhein-Westfalen,DEA4,Detmold,Detmold,DEA46,Minden-Lübbecke,Minden-Lubbecke,DE.07,North Rhine-Westphalia,North Rhine-Westphalia,,,
550280,Khimki,,,,,,,,,,RU.48,Moscow,Moscow,,,
2832521,Siegburg,DEA,Nordrhein-Westfalen,Nordrhein-Westfalen,DEA2,Köln,Koln,DEA2C,Rhein-Sieg-Kreis,Rhein-Sieg-Kreis,DE.07,North Rhine-Westphalia,North Rhine-Westphalia,DE.07.053,Regierungsbezirk Köln,Regierungsbezirk Koln
1070940,Antananarivo,,,,,,,,,,MG.7670856,Analamanga,Analamanga,,,
2654200,Burton upon Trent,UKG,West Midlands (England),West Midlands (England),UKG2,Shropshire and Staffordshire,Shropshire and Staffordshire,UKG24,Staffordshire CC,Staffordshire CC,GB.ENG,England,England,GB.ENG.M9,Staffordshire,Staffordshire
2810678,Wesel,DEA,Nordrhein-Westfalen,Nordrhein-Westfalen,DEA1,Düsseldorf,Dusseldorf,DEA1F,Wesel,Wesel,DE.07,North Rhine-Westphalia,North Rhine-Westphalia,DE.07.051,Regierungsbezirk Düsseldorf,Regierungsbezirk Dusseldorf
3382160,Cayenne,,,,,,,,,,GF.GF,Guyane,Guyane,GF.GF.973,Guyane,Guyane
5098278,Freehold,,,,,,,,,,US.NJ,New Jersey,New Jersey,US.NJ.025,Monmouth County,Monmouth County
5579368,Loveland,,,,,,,,,,US.CO,Colorado,Colorado,US.CO.069,Larimer County,Larimer County
