grid_id,relationship_type,related_grid_id
grid.4616.5,Parent,grid.413454.3
grid.4711.3,Child,grid.419043.b
grid.4711.3,Child,grid.420192.c
grid.4711.3,Child,grid.428448.6
grid.4711.3,Child,grid.418387.1
grid.4711.3,Child,grid.424142.5
grid.4711.3,Child,grid.418710.b
grid.4711.3,Child,grid.423563.5
grid.4711.3,Child,grid.418281.6
grid.4711.3,Child,grid.418277.f
grid.4711.3,Child,grid.418875.7
grid.4711.3,Child,grid.418877.5
grid.4711.3,Child,grid.453395.d
grid.4711.3,Child,grid.435283.b
grid.4711.3,Child,grid.418218.6
grid.4711.3,Child,grid.428945.6
grid.4711.3,Child,grid.452499.7
grid.4711.3,Child,grid.420258.9
grid.4711.3,Child,grid.414816.e
grid.4711.3,Child,grid.435134.4
grid.4711.3,Child,grid.420247.7
grid.4711.3,Child,grid.423818.4
grid.4711.3,Child,grid.429021.c
grid.4711.3,Child,grid.429036.a
grid.4711.3,Child,grid.452528.c
grid.4711.3,Child,grid.450286.d
grid.4711.3,Child,grid.425217.7
grid.4711.3,Child,grid.452561.1
grid.4711.3,Child,grid.419051.8
grid.4711.3,Child,grid.435011.2
grid.4711.3,Child,grid.425178.d
grid.4711.3,Child,grid.418900.4
grid.4711.3,Child,grid.452504.2
grid.4711.3,Child,grid.419129.6
grid.4711.3,Child,grid.450922.8
grid.4711.3,Child,grid.418774.9
grid.4711.3,Child,grid.417541.2
grid.4711.3,Child,grid.419099.c
grid.4711.3,Child,grid.420259.8
grid.4711.3,Child,grid.419120.f
grid.4711.3,Child,grid.418891.d
grid.4711.3,Child,grid.419121.e
grid.4711.3,Child,grid.419104.9
grid.4711.3,Child,grid.428973.3
grid.4711.3,Child,grid.420025.1
grid.4711.3,Child,grid.428469.5
grid.4714.6,Affiliated,grid.24381.3c
grid.4756.0,Affiliated,grid.413682.a
grid.4756.0,Affiliated,grid.439471.c
grid.4777.3,Affiliated,grid.412914.b
grid.4777.3,Affiliated,grid.416232.0
grid.4795.f,Affiliated,grid.411068.a
grid.4795.f,Affiliated,grid.410526.4
grid.4795.f,Affiliated,grid.144756.5
grid.4808.4,Affiliated,grid.412095.b
grid.4808.4,Affiliated,grid.412488.3
grid.4808.4,Affiliated,grid.412688.1
grid.4817.a,Affiliated,grid.277151.7
grid.4827.9,Affiliated,grid.461360.6
grid.4827.9,Affiliated,grid.416122.2
grid.4827.9,Affiliated,grid.415947.a
grid.4828.6,Affiliated,grid.411572.4
grid.4828.6,Affiliated,grid.414352.5
grid.4828.6,Affiliated,grid.157868.5
grid.4830.f,Affiliated,grid.4494.d
grid.4836.9,Parent,grid.5018.c
grid.4842.a,Affiliated,grid.412539.8
grid.4861.b,Affiliated,grid.411374.4
grid.4862.8,Affiliated,grid.416270.6
grid.4868.2,Affiliated,grid.414650.2
grid.4868.2,Affiliated,grid.439257.e
grid.4868.2,Affiliated,grid.454365.5
grid.4868.2,Affiliated,grid.415588.5
grid.4868.2,Parent,grid.4464.2
grid.4886.2,Child,grid.425156.1
grid.4886.2,Child,grid.431939.5
grid.4886.2,Child,grid.435159.f
grid.4886.2,Child,grid.423490.8
grid.4886.2,Child,grid.423921.f
grid.4886.2,Child,grid.418421.a
grid.4886.2,Child,grid.418495.5
grid.4886.2,Child,grid.434363.5
grid.4886.2,Child,grid.418899.5
grid.4886.2,Child,grid.417808.2
grid.4886.2,Child,grid.434964.8
grid.4886.2,Child,grid.418623.a
grid.4886.2,Child,grid.435025.5
grid.4886.2,Child,grid.425051.7
grid.4886.2,Child,grid.425081.a
grid.4886.2,Child,grid.435056.1
grid.4886.2,Child,grid.410472.4
grid.4886.2,Child,grid.435127.6
grid.4886.2,Child,grid.418820.7
grid.4886.2,Child,grid.429129.5
grid.4886.2,Child,grid.418847.6
grid.4886.2,Child,grid.418853.3
grid.4886.2,Child,grid.418863.0
grid.4886.2,Child,grid.418894.8
grid.4886.2,Child,grid.418902.6
grid.4886.2,Child,grid.418904.0
grid.4886.2,Child,grid.418910.5
grid.4886.2,Child,grid.418912.7
grid.4886.2,Child,grid.418947.7
grid.4886.2,Child,grid.418953.2
grid.4886.2,Child,grid.425208.9
grid.4886.2,Child,grid.434999.a
grid.4886.2,Child,grid.419730.8
grid.4886.2,Child,grid.434387.f
grid.4886.2,Child,grid.419021.f
grid.4886.2,Child,grid.424976.a
grid.4886.2,Child,grid.435253.6
grid.4886.2,Child,grid.418743.d
grid.4886.2,Child,grid.418777.a
grid.4886.2,Child,grid.435275.2
grid.4886.2,Child,grid.435279.e
grid.4886.2,Child,grid.418785.7
grid.4886.2,Child,grid.435288.0
grid.4886.2,Child,grid.420079.8
grid.4886.2,Child,grid.425037.7
grid.4886.2,Child,grid.418826.1
grid.4886.2,Child,grid.435323.0
grid.4886.2,Child,grid.451005.5
grid.4886.2,Child,grid.435352.6
grid.4886.2,Child,grid.418949.9
grid.4886.2,Child,grid.418952.3
grid.4886.2,Child,grid.435413.4
grid.4886.2,Child,grid.435414.3
grid.4886.2,Child,grid.418975.6
grid.4886.2,Child,grid.435423.7
grid.4886.2,Child,grid.426168.f
grid.4886.2,Child,grid.419005.9
grid.4886.2,Child,grid.435425.1
grid.4886.2,Child,grid.435436.3
grid.4886.2,Child,grid.419389.e
grid.4886.2,Child,grid.423485.c
grid.4886.2,Child,grid.435259.c
grid.4886.2,Child,grid.419733.b
grid.4886.2,Child,grid.435669.b
grid.4886.2,Child,grid.435427.3
grid.4886.2,Child,grid.425618.c
grid.4886.2,Child,grid.436090.8
grid.4886.2,Child,grid.436213.1
grid.4886.2,Child,grid.425246.3
grid.4886.2,Child,grid.425931.8
grid.4886.2,Child,grid.439283.7
grid.4886.2,Child,grid.435216.7
grid.4886.2,Child,grid.425759.8
grid.4886.2,Child,grid.435622.4
grid.4886.2,Child,grid.425806.d
grid.4886.2,Child,grid.426292.9
grid.4886.2,Child,grid.417772.0
grid.4886.2,Child,grid.430219.d
grid.4886.2,Child,grid.424964.9
grid.4886.2,Child,grid.437494.9
grid.4886.2,Child,grid.419424.e
grid.4886.2,Child,grid.35135.31
grid.4886.2,Child,grid.424930.8
grid.4886.2,Child,grid.437665.5
grid.4886.2,Child,grid.415877.8
grid.4886.2,Child,grid.437721.4
grid.4886.2,Child,grid.426295.e
grid.4886.2,Child,grid.426428.e
grid.4886.2,Child,grid.452760.2
grid.4886.2,Child,grid.437896.7
grid.4886.2,Child,grid.426543.2
grid.4886.2,Child,grid.452262.5
grid.4886.2,Child,grid.426536.0
grid.4886.2,Child,grid.440481.d
grid.4886.2,Child,grid.435155.3
grid.4886.2,Child,grid.435125.4
grid.4886.2,Child,grid.439081.7
grid.4886.2,Child,grid.433823.d
grid.4886.2,Child,grid.435157.1
grid.4886.2,Child,grid.439287.3
grid.4912.e,Affiliated,grid.414315.6
grid.4912.e,Affiliated,grid.414919.0
grid.4912.e,Affiliated,grid.415614.3
grid.4912.e,Affiliated,grid.417322.1
grid.4912.e,Affiliated,grid.416068.d
grid.4912.e,Affiliated,grid.416821.8
grid.4912.e,Affiliated,grid.412459.f
grid.4912.e,Affiliated,grid.416954.b
grid.4912.e,Parent,grid.9344.a
grid.4970.a,Parent,grid.4464.2
grid.4973.9,Affiliated,grid.5254.6
grid.4973.9,Child,grid.411719.b
